source hex,source int,source,source len,source bytes,destination hex,destination int,destination,destination len,destination bytes,diff,diff bytes
014C,332,Ō,2,197 140,014D,333,ō,2,197 141,1,0 1
014E,334,Ŏ,2,197 142,014F,335,ŏ,2,197 143,1,0 1
0150,336,Ő,2,197 144,0151,337,ő,2,197 145,1,0 1
0152,338,Œ,2,197 146,0153,339,œ,2,197 147,1,0 1
0154,340,Ŕ,2,197 148,0155,341,ŕ,2,197 149,1,0 1
0156,342,Ŗ,2,197 150,0157,343,ŗ,2,197 151,1,0 1
0158,344,Ř,2,197 152,0159,345,ř,2,197 153,1,0 1
015A,346,Ś,2,197 154,015B,347,ś,2,197 155,1,0 1
015C,348,Ŝ,2,197 156,015D,349,ŝ,2,197 157,1,0 1
015E,350,Ş,2,197 158,015F,351,ş,2,197 159,1,0 1
0160,352,Š,2,197 160,0161,353,š,2,197 161,1,0 1
0162,354,Ţ,2,197 162,0163,355,ţ,2,197 163,1,0 1
0164,356,Ť,2,197 164,0165,357,ť,2,197 165,1,0 1
0166,358,Ŧ,2,197 166,0167,359,ŧ,2,197 167,1,0 1
0168,360,Ũ,2,197 168,0169,361,ũ,2,197 169,1,0 1
016A,362,Ū,2,197 170,016B,363,ū,2,197 171,1,0 1
016C,364,Ŭ,2,197 172,016D,365,ŭ,2,197 173,1,0 1
016E,366,Ů,2,197 174,016F,367,ů,2,197 175,1,0 1
0170,368,Ű,2,197 176,0171,369,ű,2,197 177,1,0 1
0172,370,Ų,2,197 178,0173,371,ų,2,197 179,1,0 1
0174,372,Ŵ,2,197 180,0175,373,ŵ,2,197 181,1,0 1
0176,374,Ŷ,2,197 182,0177,375,ŷ,2,197 183,1,0 1
0178,376,Ÿ,2,197 184,00FF,255,ÿ,2,195 191,-121,6 7
0179,377,Ź,2,197 185,017A,378,ź,2,197 186,1,0 3
017B,379,Ż,2,197 187,017C,380,ż,2,197 188,1,0 7
017D,381,Ž,2,197 189,017E,382,ž,2,197 190,1,0 3
0181,385,Ɓ,2,198 129,0253,595,ɓ,2,201 147,210,15 18
